_id,REPORT_ID,TIMESTAMP,status,avgMeasuredTime,medianMeasuredTime,vehicleCount,avgSpeed
511,1144125,2024-03-22T07:15:00,OK,0,0,0,0
512,1140095,2024-03-22T07:15:00,OK,0,0,0,0
513,957912,2024-03-22T07:15:00,OK,0,0,0,0
514,16716691,2024-03-22T07:15:00,OK,0,0,0,0
515,1201535,2024-03-22T07:15:00,OK,0,0,0,0
516,16715127,2024-03-22T07:15:00,OK,0,0,0,0
517,7145154,2024-03-22T07:15:00,OK,0,0,0,0
518,10640392,2024-03-22T07:15:00,OK,0,0,0,0
519,7148870,2024-03-22T07:15:00,OK,0,0,0,0
520,7146781,2024-03-22T07:15:00,OK,0,0,0,0
521,16717428,2024-03-22T07:15:00,OK,0,0,0,0
522,7147291,2024-03-22T07:15:00,OK,0,0,0,0
523,7147663,2024-03-22T07:15:00,OK,0,0,0,0
524,1151978,2024-03-22T07:15:00,OK,0,0,0,0
525,8184062,2024-03-22T07:15:00,OK,0,0,0,0
526,1150862,2024-03-22T07:15:00,OK,0,0,0,0
527,3106534,2024-03-22T07:15:00,OK,0,0,0,0
528,1151881,2024-03-22T07:15:00,OK,0,0,0,0
529,16717082,2024-03-22T07:15:00,OK,0,0,0,0
530,7144954,2024-03-22T07:15:00,OK,0,0,0,0
531,1149855,2024-03-22T07:15:00,OK,0,0,0,0
532,8176193,2024-03-22T07:15:00,OK,0,0,0,0
533,7144540,2024-03-22T07:15:00,OK,0,0,0,0
534,1145689,2024-03-22T07:15:00,OK,0,0,0,0
535,8176498,2022-06-30T08:55:00,OK,0,0,0,0
536,300206,2024-03-22T07:15:00,OK,0,0,0,0
537,8175818,2024-03-22T07:15:00,OK,0,0,0,0
538,7145297,2024-03-22T07:15:00,OK,0,0,0,0
539,10640299,2024-03-22T07:15:00,OK,0,0,0,0
540,16717178,2024-03-22T07:15:00,OK,0,0,0,0
541,7146529,2024-03-22T07:15:00,OK,0,0,0,0
542,280482,2024-03-22T07:15:00,OK,0,0,0,0
543,1139935,2024-03-22T07:15:00,OK,0,0,0,0
544,300046,2024-03-22T07:15:00,OK,0,0,0,0
545,1144257,2024-03-22T07:15:00,OK,0,0,0,0
546,16715652,2024-03-22T07:15:00,OK,0,0,0,0
547,280429,2024-03-22T07:15:00,OK,0,0,0,0
548,7148512,2024-03-22T07:15:00,OK,0,0,0,0
549,1150036,2024-03-22T07:15:00,OK,0,0,0,0
550,8176168,2024-03-22T07:15:00,OK,0,0,0,0
551,16715985,2024-03-22T07:15:00,OK,0,0,0,0
552,16716423,2024-03-22T07:15:00,OK,0,0,0,0
553,886073,2024-03-22T07:15:00,OK,0,0,0,0
554,538983,2021-02-26T12:30:00,OK,210,210,2,48
555,1149941,2024-03-22T07:15:00,OK,0,0,0,0
556,1149870,2024-03-22T07:15:00,OK,0,0,0,0
557,1148632,2024-03-22T07:15:00,OK,0,0,0,0
558,1150142,2024-03-22T07:15:00,OK,0,0,0,0
559,7149099,2024-03-22T07:15:00,OK,0,0,0,0
560,1151771,2024-03-22T07:15:00,OK,0,0,0,0
561,7145907,2024-03-22T07:15:00,OK,0,0,0,0
562,1151638,2024-03-22T07:15:00,OK,0,0,0,0
563,280535,2024-03-22T07:15:00,OK,0,0,0,0
564,1143990,2024-03-22T07:15:00,OK,0,0,0,0
565,7147142,2024-03-22T07:15:00,OK,0,0,0,0
566,1145527,2024-03-22T07:15:00,OK,0,0,0,0
567,7145046,2024-03-22T07:15:00,OK,0,0,0,0
568,7144744,2024-03-22T07:15:00,OK,0,0,0,0
569,7147767,2024-03-22T07:15:00,OK,0,0,0,0
570,8176378,2024-03-22T07:15:00,OK,0,0,0,0
571,1151062,2024-03-22T07:15:00,OK,0,0,0,0
572,16716742,2024-03-22T07:15:00,OK,0,0,0,0
573,7145325,2024-03-22T07:15:00,OK,0,0,0,0
574,8175628,2024-03-22T07:15:00,OK,0,0,0,0
575,1148781,2024-03-22T07:15:00,OK,0,0,0,0
576,957938,2024-03-22T07:15:00,OK,0,0,0,0
577,6062691,2024-03-22T07:15:00,OK,0,0,0,0
578,16716006,2024-04-02T14:40:00,OK,66,66,47,84
579,1148994,2024-03-22T07:15:00,OK,0,0,0,0
580,1201562,2024-03-22T07:15:00,OK,0,0,0,0
581,1151156,2024-03-22T07:15:00,OK,0,0,0,0
582,7148548,2024-03-22T07:15:00,OK,0,0,0,0
583,8183976,2024-03-22T07:15:00,OK,0,0,0,0
584,3106558,2024-03-22T07:15:00,OK,0,0,0,0
585,7145770,2024-03-22T07:15:00,OK,0,0,0,0
586,1139962,2024-03-22T07:15:00,OK,0,0,0,0
587,6062585,2024-03-22T07:15:00,OK,0,0,0,0
588,1150957,2024-03-22T07:15:00,OK,0,0,0,0
589,1148810,2024-03-22T07:15:00,OK,0,0,0,0
590,1151911,2024-03-22T07:15:00,OK,0,0,0,0
591,7144386,2024-03-22T07:15:00,OK,0,0,0,0
592,7147309,2024-03-22T07:15:00,OK,0,0,0,0
593,1150153,2024-03-22T07:15:00,OK,0,0,0,0
594,7147687,2024-03-22T07:15:00,OK,0,0,0,0
595,4315331,2024-03-22T07:15:00,OK,0,0,0,0
596,300072,2024-03-22T07:15:00,OK,0,0,0,0
597,1149077,2024-03-22T07:15:00,OK,0,0,0,0
598,1151989,2024-03-22T07:15:00,OK,0,0,0,0
599,7147505,2024-03-22T07:15:00,OK,0,0,0,0
600,7150504,2024-03-22T07:15:00,OK,0,0,0,0
601,16717259,2024-03-22T07:15:00,OK,0,0,0,0
602,1144152,2024-03-22T07:15:00,OK,0,0,0,0
603,7144573,2024-03-22T07:15:00,OK,0,0,0,0
604,16715724,2024-03-22T07:15:00,OK,0,0,0,0
605,10640316,2024-03-22T07:15:00,OK,0,0,0,0
606,10640427,2024-03-22T07:15:00,OK,0,0,0,0
607,8175923,2024-03-22T07:15:00,OK,0,0,0,0
608,7145065,2024-03-22T07:15:00,OK,0,0,0,0
609,539513,2024-03-22T07:15:00,OK,0,0,0,0
610,7146810,2024-03-22T07:15:00,OK,0,0,0,0
611,7144856,2024-03-22T07:15:00,OK,0,0,0,0
612,958233,2024-03-22T07:15:00,OK,0,0,0,0
613,16715157,2024-03-22T07:15:00,OK,0,0,0,0
614,1140122,2024-03-22T07:15:00,OK,0,0,0,0
615,1145553,2024-03-22T07:15:00,OK,0,0,0,0
616,16716453,2024-03-22T07:15:00,OK,0,0,0,0
617,16716771,2024-03-22T07:15:00,OK,0,0,0,0
618,1152013,2024-03-22T07:15:00,OK,0,0,0,0
619,7145459,2024-03-22T07:15:00,OK,0,0,0,0
620,7146555,2024-03-22T07:15:00,OK,0,0,0,0
621,1319922,2024-03-22T07:15:00,OK,0,0,0,0
622,7148893,2024-03-22T07:15:00,OK,0,0,0,0
623,1139695,2024-03-22T07:15:00,OK,0,0,0,0
624,1219522,2024-03-22T07:15:00,OK,0,0,0,0
625,8176426,2024-03-22T07:15:00,OK,0,0,0,0
626,16717445,2024-03-22T07:15:00,OK,0,0,0,0
627,7146706,2024-03-22T07:15:00,OK,0,0,0,0
628,8175988,2024-03-22T07:15:00,OK,0,0,0,0
629,10640410,2024-03-22T07:15:00,OK,0,0,0,0
